ID	SRA ID	Example	Description	Ссылка
vag_1	SRX18342611	SRR22371859	Вагинальный микробиом человека'	https://www.ncbi.nlm.nih.gov/sra/srx18342611
hgut_1	SRX18389748	SRR22419982	Микробиом кишечника человека'	https://www.ncbi.nlm.nih.gov/sra/srx18389748
hgut_2	SRX18389747	SRR22419983	Микробиом кишечника человека'	https://www.ncbi.nlm.nih.gov/sra/srx18389747
hgut_3	SRX18389707	SRR22420023	Микробиом кишечника человека'	https://www.ncbi.nlm.nih.gov/sra/srx1838970
hgut_4	SRX18393756	SRR22424260	Микробиом кишечника человека'	https://www.ncbi.nlm.nih.gov/sra/srx18393756
mgut_1	SRX18440981	SRR22475637	Микробиом кишечника мыши'	https://www.ncbi.nlm.nih.gov/sra/srx18440981
pgut_1	SRX18346472	SRR22375942	Микробиом кишечника свиньи'	https://www.ncbi.nlm.nih.gov/sra/srx18346472
hreye_1	SRX9025702	SRR12535905	Микробиом глаза лошади'	https://www.ncbi.nlm.nih.gov/sra/srx9025702
ceye_1	SRX6899880	SRR10178423	Микробиом глаза кошки'	https://www.ncbi.nlm.nih.gov/sra/srx689980
heye_1	SRX17810852	SRR21821590	Микробиом глаза человека'	https://www.ncbi.nlm.nih.gov/sra/srx17810852
